patience	run_time_ratio	run_time_ratio_95ci_lower	run_time_ratio_95ci_upper	performance_ratio	performance_ratio_95ci_lower	performance_ratio_95ci_upper
1	0.0648773027877846	0.0555921718328439	0.0764360202617732	0.762965793697803	0.725581152106487	0.797635772531115
2	0.128778096628798	0.106104974655776	0.15037292175461	0.856042799985324	0.820225898698625	0.884290835353512
3	0.185334638890329	0.159136335209085	0.211037005898784	0.888492102473799	0.865236454079995	0.906507612282309
4	0.217316337656179	0.189658731087479	0.246023711958491	0.899653430263456	0.875174132588087	0.920165277131659
5	0.289685976699223	0.256830366168168	0.323998617079245	0.926910323510452	0.914733980974971	0.938576936552171
6	0.327128988009856	0.283906626667615	0.36919963239286	0.932719318016068	0.91879351093324	0.944593243397662
7	0.355626945386473	0.314250763963241	0.397844061297904	0.937348060919395	0.924216239630702	0.95009049944189
8	0.411153527503788	0.345416628961558	0.49258755882989	0.943310582604617	0.929057368902437	0.957873062754433
9	0.453013586059616	0.378674898590959	0.536728452659217	0.947070111625254	0.932189332147142	0.962194994619425
10	0.494766446224331	0.418064780271289	0.578867484839133	0.95349508194915	0.938636810314263	0.968350055576426
11	0.56054410381169	0.473197982787117	0.649029084099636	0.963430910086127	0.951659735471009	0.973963689188162
12	0.649600603212342	0.564865807312398	0.728490903928171	0.973193410576523	0.963449313181658	0.981762304193542
13	0.678512432464131	0.613934486699702	0.75425384600832	0.975561375253854	0.965809847511658	0.984543051218031
14	0.685045997278832	0.614576354241393	0.763380309865126	0.975561375253854	0.965447472869425	0.984247620811657
15	0.697752401599706	0.621045781711508	0.777719609180294	0.976078179052618	0.964995600819728	0.985642707507227
16	0.778447666650472	0.677285917271198	0.862644034880909	0.983420512069684	0.972736972186359	0.992551471554794
17	0.885067692401291	0.800620371850603	0.95386760752779	0.994824142712622	0.989130507076873	0.998994972211513
18	0.912327548259418	0.836738357378259	0.974738110161486	0.995113389387082	0.98980824806623	0.999066781524325
19	0.949904451714225	0.88712695871144	0.994704630818485	0.996913218593396	0.991385748276281	1
20	1	1	1	1	1	1
