gamma-epsilon_0.1_0.1	gamma-epsilon_0.1_0.01	gamma-epsilon_0.1_0.001	gamma-epsilon_0.01_0.1	gamma-epsilon_0.01_0.01	gamma-epsilon_0.01_0.001	gamma-epsilon_0.001_0.1	gamma-epsilon_0.001_0.01	gamma-epsilon_0.001_0.001
gamma-epsilon_0.1_0.1	1	0.751420980170317	0.73766578136354	0.688514041350463	0.577036913295303	0.568684381704768	0.665639468504758	0.561350038842603	0.548990058630744
gamma-epsilon_0.1_0.01	0.751420980170317	1	0.938717027462695	0.751445827896389	0.615520059612054	0.603962114260049	0.724188190121499	0.592761231282894	0.582779533766259
gamma-epsilon_0.1_0.001	0.73766578136354	0.938717027462695	1	0.75170827054129	0.621157832697591	0.607358346696239	0.728395543443926	0.597592572448284	0.585748915313215
gamma-epsilon_0.01_0.1	0.688514041350463	0.751445827896389	0.75170827054129	1	0.65209077366718	0.638907193464019	0.907261078205662	0.628697995015389	0.610833170450647
gamma-epsilon_0.01_0.01	0.577036913295303	0.615520059612054	0.621157832697591	0.65209077366718	1	0.893296179671663	0.672000504680384	0.861124712278296	0.789848097630545
gamma-epsilon_0.01_0.001	0.568684381704768	0.603962114260049	0.607358346696239	0.638907193464019	0.893296179671663	1	0.653352606502147	0.929388328118674	0.853112399777126
gamma-epsilon_0.001_0.1	0.665639468504758	0.724188190121499	0.728395543443926	0.907261078205662	0.672000504680384	0.653352606502147	1	0.643068325583185	0.625420732594564
gamma-epsilon_0.001_0.01	0.561350038842603	0.592761231282894	0.597592572448284	0.628697995015389	0.861124712278296	0.929388328118674	0.643068325583185	1	0.888551202816357
gamma-epsilon_0.001_0.001	0.548990058630744	0.582779533766259	0.585748915313215	0.610833170450647	0.789848097630545	0.853112399777126	0.625420732594564	0.888551202816357	1
